Link,Heading,Short Details
https://www.prothomalo.com/bangladesh/district/রাজশাহী-মেডিকেলে-গত-২৪-ঘণ্টায়-১০-জনের-মৃত্যু-2,রাজশাহী মেডিকেলে গত ২৪ ঘণ্টায় ১০ জনের মৃত্যু,"তাঁদের মধ্যে রাজশাহীর চারজন, চাঁপাইনবাবগঞ্জের দুজন ও নাটোরের চারজন। মৃত ব্যক্তিদের মধ্যে একজন করোনা পজিটিভ ছিলেন, আরেকজন করোনা নেগেটিভ হয়ে মারা গেছেন। বাকিরা করোনার উপসর্গ নিয়ে মারা গেছেন।"
https://www.prothomalo.com/sports/football/অস্ট্রিয়ার-চেয়ে-বেলজিয়াম-বা-পর্তুগালের-সঙ্গে-খেলা-সহজ,অস্ট্রিয়ার চেয়ে বেলজিয়াম বা পর্তুগালের সঙ্গে খেলা সহজ,অস্ট্রিয়ার বিপক্ষে ম্যাচটাই কঠিন হলো ইউরোতে উড়তে থাকা ইতালির জন্য! কোনোমতে জিতে কোয়ার্টার ফাইনাল নিশ্চিত হলো আজ্জুরিদের। কিন্তু ম্যাচ শেষে কোচ মানচিনি অবশ্য বলেছেন ম্যাচে জয়টা প্রাপ্যই ছিল ইতালির
https://www.prothomalo.com/photo/glimpse/এক-ঝলক-২৭-জুন-২০২১,এক ঝলক (২৭ জুন ২০২১),
https://www.prothomalo.com/chakri/employment/ওয়ালটনে-কনটেন্ট-রাইটার-পদে-চাকরির-সুযোগ,ওয়ালটনে কনটেন্ট রাইটার পদে চাকরির সুযোগ, দেশের অন্যতম ইলেকট্রনিকস ও ইলেকট্রিক্যাল পণ্য প্রস্তুতকারী প্রতিষ্ঠান ‘ওয়ালটন গ্রুপ’–এর অঙ্গপ্রতিষ্ঠান ওয়ালটন হাইটেক ইন্ডাস্ট্রিজ লিমিটেড লোকবল নিয়োগের জন্য বিজ্ঞপ্তি প্রকাশ করেছে। প্রতিষ্ঠানটি ...
https://www.prothomalo.com/education/higher-education/ঢাবির-হলে-মধ্যরাতে-অভিযান-৬-কক্ষ-সিলগালা,"ঢাবির হলে মধ্যরাতে অভিযান, ৬ কক্ষ সিলগালা", বিশ্ববিদ্যালয়ের শহীদ সার্জেন্ট জহুরুল হক হল ও সলিমুল্লাহ মুসলিম (এসএম) হলে গতকাল শনিবার রাত সাড়ে ১০টার দিকে শুরু হওয়া এ অভিযান চলে রাত ১টা পর্যন্ত। ঢাকা বিশ্ববিদ্যালয়ের প্রক্টর এ কে এম গোলাম ...
https://www.prothomalo.com/education/প্রাথমিক-বিজ্ঞান-প্রশ্নোত্তর-19,প্রাথমিক বিজ্ঞান | প্রশ্নোত্তর,"প্রশ্ন: পাঁচটি সংক্রামক রোগের নাম লেখো।
উত্তর: ১. সোয়াইন ফ্লু ২. হাম ৩. গুটিবসন্ত
৪. কলেরা ৫. যক্ষ্মা
প্রশ্ন: সংক্রামক রোগ কী?"
https://www.prothomalo.com/photo/বগুড়ায়-ভুট্টা-চাষ,বগুড়ায় ভুট্টা চাষ,"বগুড়ায় এবার ব্যাপক ভুট্টার চাষ হয়েছে। ফলনও ভালো হয়েছে। চাষি আবদুর রহমান এবার বগুড়া সদর উপজেলার গোপালবাড়ী গ্রামের মাঠে দেড় বিঘা জমিতে ভুট্টার চাষ করেছেন। জেলার সদর, ধুনট, সারিয়াকান্দি ও সোনাতলা ..."
https://www.prothomalo.com/bangladesh/district/সিলেট-বিভাগে-২৪-ঘণ্টায়-করোনায়-৫-জনের-মৃত্যু-শনাক্ত-৯৯,"সিলেট বিভাগে ২৪ ঘণ্টায় করোনায় ৫ জনের মৃত্যু, শনাক্ত ৯৯","২৪ ঘণ্টায় সিলেট বিভাগে নতুন করে করোনায় সংক্রমিত ৯৯ জনের মধ্যে সিলেট জেলার ৭৫, সুনামগঞ্জের ৯, হবিগঞ্জের ৮ ও মৌলভীবাজারের ৭ জন। একই সময়ে সুস্থ হয়েছেন ৮২ জন।"
https://www.prothomalo.com/education/higher-education/শিক্ষার্থীদের-ঘরে-ওয়ার্কশিট-পৌঁছে-দেওয়ার-কার্যক্রম-চলছে-গণশিক্ষা-প্রতিমন্ত্রী,শিক্ষার্থীদের ঘরে ওয়ার্কশিট পৌঁছে দেওয়ার কার্যক্রম চলছে: গণশিক্ষা প্রতিমন্ত্রী  ,"প্রাথমিক ও গণশিক্ষা প্রতিমন্ত্রী মো. জাকির হোসেন বলেছেন, শিক্ষাই জাতির সার্বিক উন্নয়ন ও সমৃদ্ধির চাবিকাঠি। তিনি বলেন, চলমান কোভিড-১৯ মহামারি পরিস্থিতি সত্ত্বেও প্রাথমিক শিক্ষা কার্যক্রমের ধারাবাহিকতা ..."
https://www.prothomalo.com/business/industry/বিজিএমইএর-সদস্যদের-জন্য-সভাপতির-বার্তা,বিজিএমইএর সদস্যদের জন্য সভাপতির বার্তা,"করোনার সংক্রমণ নিয়ন্ত্রণে আগামী ১ জুলাই বৃহস্পতিবার থেকে শুরু হবে সর্বাত্মক লকডাউন। তবে কাল সোমবার থেকে আগামী বুধবার পর্যন্ত বর্তমান নিয়মে শিল্পকারখানা, ব্যাংক ও আর্থিক প্রতিষ্ঠান খোলা থাকবে। ..."
https://trust.prothomalo.com/video/মাদকবিরোধী-আন্দোলনের-উপর-নির্মিত-একটি-তথ্যচিত্র-আঁধার-শেষের-গল্প,মাদকবিরোধী আন্দোলনের উপর নির্মিত একটি তথ্যচিত্র- 'আঁধার শেষের গল্প',
